locations,lat,lng
"PTD 68518, Persiaran Bangi, Seksyen 9, 43650 Bandar Baru Bangi, Selangor, Malaysia",2.9618155,101.7580357
"Jalan Tan Swee Hoe, Taman Flora Utama, 83000 Batu Pahat, Johor, Malaysia",1.8636336,102.949064
"Lot 5017, McDonald's, Jalan Changkat Jong, 36000 Teluk Intan, Perak, Malaysia",4.0173686,101.0275118
"G-22, Ground Floor, 36, Jalan Istana Larut, 34000 Taiping, Perak, Malaysia",4.865880199999999,100.7311991
"Klang Sentral Terminal A, Persiaran Klang Sentral 1/Ku5, Klang Sentral, 42200 Klang, Selangor, Malaysia",3.1091043,101.4382136
"Arrivals, KLIA Terminal, Kuala Lumpur International Airport, 43900 Sepang, Selangor, Malaysia",2.7545668,101.7037651
"Prima Saujana, 43000 Kajang, Selangor, Malaysia",3.007575,101.8083859
"Leboh Ayer Keroh, Melaka International Trade Centre, 75450 Ayer Keroh, Melaka, Malaysia",2.2724771,102.285267
"PT101 &102, 1, Jalan Hamzah, Seksyen 16, 15050 Kota Bharu, Kelantan, Malaysia",6.117053599999999,102.2401589
"Lebuhraya Damansara - Puchong, Malaysia",3.0872651,101.6131017
"Bandar Perda, 14000 Bukit Mertajam, Pulau Pinang, Malaysia",5.366535,100.4341489
"Jalan Bandar, Kawasan Perindustrian Pasir Gudang, 81700 Pasir Gudang, Johor, Malaysia",1.4735406,103.9079803
"1, 1, Jalan Niaga 11, Kampung Makam, 81900 Kota Tinggi, Johor, Malaysia",1.7288947,103.9024013
"Sunway City Ipoh, Tambun, Perak, Malaysia",4.619781,101.1467408
"PT 1134, Persiaran Pusat Bandar, Putra Point, 71800 Nilai, Negeri Sembilan, Malaysia",2.8225958,101.7938111
"Jln Lingkaran Tengah 2, 52100, Selangor, Malaysia",3.2151544,101.6314827
"57, Jalan Indah 15/2, Taman Bukit Indah, 81200 Johor Bahru, Johor, Malaysia",1.4815896,103.6577533
"686, Jalan Pasir Puteh, 31650 Ipoh, Perak, Malaysia",4.542535900000001,101.0704172
"Puncak Alam, 45010, Selangor, Malaysia",3.2185519,101.4282369
"Jalan Batu Sinar, Taman Bandar Baru, Kampar, Perak, Malaysia",4.3258942,101.143947
"City Centre, 1, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia",3.1489718,101.6161233
"Sibu, Sarawak, Malaysia",2.287284,111.830535
"Lot 5993, Block 11, K.B.L.D. Desa Indah, 3, Jln Tudan, Bandar Baru Permyjaya, 98000 Miri, Sarawak, Malaysia",4.4717259,114.0429579
