,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
57,"Metro Prima, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.213144,101.6425249,APPROXIMATE,ChIJ35pfkUBGzDERuup-yz1DT3Y,"political,sublocality,sublocality_level_1",52100,�ON Mall Metro Prima[46],1,OK
58,"Jln Kepong, Jinjang Selatan, 52000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.2044611,101.6675995,GEOMETRIC_CENTER,ChIJ31oLl85HzDERW9aX56STRI0,"establishment,point_of_interest,shopping_mall",52000,Brem Mall[47],1,OK
59,"Kepong, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.2037943,101.6413776,APPROXIMATE,ChIJH_UnOyNGzDERTqjjAz1jHvI,"neighborhood,political",,Kepong Village Mall[48],1,OK
60,,,,,,,,KL Metropolis Lifestyle Mall[49] (Coming soon),0,ZERO_RESULTS
61,"KL Metropolis, Jalan Dutamas 2, Dutamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.181534,101.6681976,GEOMETRIC_CENTER,ChIJ9X7h0w9JzDERx9vlh5m_pXM,"establishment,point_of_interest,shopping_mall",50480,KL Midtown[50] (Coming soon),1,OK
62,"MET 1 KL Metropolis, Jln Boulevard, Kompleks Kerajaan, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1763473,101.669503,GEOMETRIC_CENTER,ChIJ27liH6RJzDERq9EOpBHhExo,"establishment,point_of_interest,shopping_mall",50480,Met Galleria[51] (Opening in 2023),1,OK
63,"Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1174073,101.6780545,GEOMETRIC_CENTER,ChIJPbiasY5JzDER-5Fp9VNQTVY,"establishment,point_of_interest,shopping_mall",59200,Mid Valley Megamall,1,OK
64,"3101 PGA Boulevard, Palm Beach Gardens, FL 33410, USA",26.8484491,-80.0855753,ROOFTOP,ChIJPXlx3pcq34gR4C2DoXJZUqc,"establishment,point_of_interest,shopping_mall",33410,The Gardens Mall[52],1,OK
65,"KL Eco City Mall, No.3, Jalan Bangsar, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1193533,101.6741901,ROOFTOP,ChIJM_iX7QRJzDERQ8YMmhuPIaI,"establishment,point_of_interest,shopping_mall",59200,KL Eco City Mall[53],1,OK
66,"2, Jalan Kerinchi, Kampung Kerinchi, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1141124,101.6632718,ROOFTOP,ChIJq6reQYBJzDERGDH3SiooRZI,"establishment,point_of_interest,shopping_mall",59200,KL Gateway Mall[54],1,OK
