locations,lat,lng,weight
"13600 Seberang Perai, Penang, Malaysia",5.3700335,100.4139476,0.270735021
"POLITEKNIK SULTAN HAJI AHMAD SHAH, Semambu, 25350 Kuantan, Pahang, Malaysia",3.8626197,103.3165089,0.270735021
"Persiaran Tun Dr. Ismail Jalan Kluang Parit Raja, 86400 Batu Pahat, Johor, Malaysia",1.8565058,103.0821795,0.270735021
"Sabah, Malaysia",5.9788398,116.0753199,0.270735021
"Tkt. Bawah, Wisma Hock Teik, 1778, Jalan Ciku, 14000 Bukit Mertajam, Penang, Malaysia",5.366192,100.459892,0.270735021
"Level 8, Block D4, Parcel D, Pusat Pentadbiran Kerajaan Persekutuan, Putrajaya, 62502, Putrajaya, WP Putrajaya, Presint 1, 62502 Putrajaya, Malaysia",2.9379621,101.7052889,0.270735021
"Level 14, Wisma Perkeso, No.155, Jln Tun Razak, Kampung Baru, 50400 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1671707,101.7129885,0.270735021
"Century Square, G07-G12,Right Wing, Block 2320, Jalan Usahawan, Cyber 6, 63000 Cyberjaya, Selangor, Malaysia",2.9250484,101.6605273,0.270735021
"Peninsular Malaysia, Malaysia",3.9743406,102.4380581,0.270735021
"50538, Menara Perkeso, 281, Jln Ampang, Taman U Thant, 55000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1601072,101.7348291,0.270735021
"Level 1, Jln Sultan Ismail, Chow Kit, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1588148,101.7005745,0.270735021
"Level 16, Menara SSM, No, 7, Jalan Stesen Sentral 5, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1333653,101.6839434,0.270735021
"Block 2280, Jalan Usahawan 2, Cyber 6, 63000 Cyberjaya, Selangor, Malaysia",2.9287368,101.6608149,0.270735021
"Menara Matrade, Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1776225,101.6662616,0.270735021
"82, Jalan Raja Chulan, 50200, Kuala Lumpur, WP Kuala Lumpur, Kuala Lumpur, 50200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1509805,101.7082083,0.270735021
"Jalan Sultan, Pjs 52, 46200 Petaling Jaya, Selangor, Malaysia",3.1021885,101.6438446,0.270735021
"No. 7, Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1763148,101.668496,0.270735021
"Tingkat 5, 6 & 7, Wisma SEDCO, Lorong Plaza Wawasan, Api-api Centre, 88999 Kota Kinabalu, Malaysia",5.9739949,116.067741,0.270735021
"Unit 2-1, Level 2, Tower 2B, UOA Business Park, No 1, Jalan Pengaturcara U1/51a, Seksyen U1, 40150 Shah Alam, Selangor, Malaysia",3.0858369,101.5889347,0.270735021
"Level 7, Menara Axis, No. 2, Jalan 51a/223, Seksyen 51a, 46100 Petaling Jaya, Selangor, Malaysia",3.1031466,101.6389773,0.270735021
"1115, Jalan Utama, Biawak Industrial Estate, 93450 Kuching, Sarawak, Malaysia",1.5602291,110.3853862,0.270735021
"Unit C-8-5, Block C, Megan Avenue 2, No, 12, Jalan Yap Kwan Seng, Kampung Baru, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1624637,101.712311,0.270735021
"Menara Pgrm, 8, Jalan Pudu Ulu, Taman Pertama, 55300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1223683,101.7292924,0.270735021
"Lot 2A, Persiaran Institusi, Kawasan Institusi Bangi, 43000 Kajang, Selangor, Malaysia",2.964632,101.7361004,0.270735021
"Aras 5 - 9, No. 47, Persiaran Perdana, Presint 4, 62100 Putrajaya, Malaysia",2.9045611,101.6814036,0.270735021
"Bangunan Kejora, Jalan Dato Haji Hassan Yunus, Bandar Penawar, 81900 Kota Tinggi, Malaysia",1.5557575,104.2301449,0.270735021
"Taman Teratai, 06500 Langgar, Kedah, Malaysia",6.1485114,100.4123916,0.270735021
"Jalan Dengkil, Batu 24, 43000 Dengkil, Selangor, Malaysia",2.8960895,101.7541567,0.270735021
"Agensi Nuklear Malaysia, 43000 Kajang, Bangi, Malaysia",2.91078,101.77051,0.270735021
"13, Jalan Tun Ismail, Kuala Lumpur, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1634395,101.6890809,0.270735021
"Jalan Inovasi 3, Taman Teknologi Malaysia, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0467937,101.696317,0.270735021
"Jln Tun Razak, Titiwangsa, 50694 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1743519,101.7038242,0.270735021
"Kompleks Kraf Jalan Conlay, 63, Jalan Conlay, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1487161,101.7183219,0.270735021
"232, Jln Tun Razak, Titiwangsa, 50572 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1705762,101.7113573,0.270735021
"Suite A-32-7 Menara UOA Bangsar No 5, Jalan Bangsar Utama 1, 59000, Kuala, Lumpur, WP Kuala Lumpur, Bangsar, 59000 Bangsar, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1278346,101.6774024,0.270735021
"Bintulu, Sarawak, Malaysia",3.171322,113.0419069,0.270735021
"Aras 1-4, Blok Podium, 27, Persiaran Perdana, Presint 3, 62618 Putrajaya, Malaysia",2.9137381,101.6844205,0.270735021
"Jalan Mawar Merah 2, Pusat Perdagangan Pasir Gudang 2, 81700 Pasir Gudang, Johor, Malaysia",1.472564,103.901146,0.270735021
"26080 Gebeng, Pahang, Malaysia",3.9767056,103.4241775,0.270735021
"Menara Tun Ismail Mohamed Ali, Aras G, M dan 20, No. 25, Jln Raja Laut, Chow Kit, 50350 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1589191,101.6948949,0.270735021
"Unit B, 06-08 12, Jalan Yap Kwan Seng, Kampung Baru, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1628878,101.7126118,0.270735021
"Pengkalan Weld, George Town, 10300 George Town, Pulau Pinang, Malaysia",5.419079,100.3446608,0.270735021
"202, Jalan Pelabuhan utara, Port Klang, 42005, Kawasan 14, 42000 Port Klang, Selangor, Malaysia",3.0087716,101.3930358,0.270735021
"Level 16, IOI City Tower 2, Lebuh IRC IOI Resort City, Ioi Resort, 62502 Sepang, Putrajaya, Malaysia",2.9693957,101.711814,0.270735021
"Persiaran Perdana, Presint 4, 62100 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9023525,101.6802605,0.270735021
"Lot PT 13856 KM6, Lebuhraya Kuala Lumpur - Seremban, Sungai Besi, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0782147,101.7012761,0.270735021
"Tingkat 17, Block F, Ibu Pejabat JKR, Jalan Sultan Salahuddin, 50582, Kuala Lumpur, Wilayah Persekutuan, Kuala Lumpur, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1541375,101.6899344,0.270735021
"Tingkat 11& 17, Block F, Ibu Pejabat JKR, Jalan Sultan Salahuddin, Kuala Lumpur, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1541405,101.6898839,0.270735021
"Tingkat 17, Ibu Pejabat JKR, Jalan Sultan Salahuddin, 50582 Kuala Lumpur, Kuala Lumpur, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1540985,101.6899638,0.270735021
"126, Jalan Jalil Perkasa 19, Bukit Jalil, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.0536333,101.6934867,0.270735021
"Alor Gajah, Malacca, Malaysia",2.382211,102.2115611,0.270735021
"Jalan Perpatih, Taman Pilah Jaya, 72000 Kuala Pilah, Negeri Sembilan, Malaysia",2.7383999,102.2470907,0.270735021
"8, Jalan Ketari, 28700 Bentong, Pahang, Malaysia",3.519963,101.913516,0.270735021
"Kuantan, Pahang, Malaysia",3.8168287,103.3317173,0.270735021
"Pejabat Kewangan dan Perbendaharaaan Negeri Pahang Tingkat 6, Wisma Sri Pahang, 25503, Kuantan, Pahang, Taman Sekilau Perdana, 25200 Kuantan, Pahang, Malaysia",3.824973,103.3238999,0.270735021
"Lot 27 & Lot 29, Jalan Seri Kuantan 2, Sri Kuantan Square, 25050 Kuantan, Pahang, Malaysia",3.815822,103.334842,0.270735021
"Jalan Betek, Taman Bukit Kecil, 14000 Bukit Mertajam, Pulau Pinang, Malaysia",5.353846,100.452652,0.270735021
"Pengarah Tanah Dan Galian Tingkat 21 & 22 Komtar, 10000, Pulau Pinang, 10450 George Town, Penang, Malaysia",5.4160929,100.3293449,0.270735021
"Komtar, 10450 George Town, Pulau Pinang, Malaysia",5.4145731,100.3297411,0.270735021
"Bangunan Tun Dr Lim Chong Eu, No 1 Pesiaran Mahsuri, Bandar Bayan Baru, 11909 Bayan Lepas, Pulau Pinang, Malaysia",5.328737,100.282589,0.270735021
"2118, Jalan Perpustakaan, Seberang Jaya, 13700 Perai, Pulau Pinang, Malaysia",5.391897,100.3990361,0.270735021
"Pengarah Kebajikan Masyarakat Jabatan Kebajikan Masyarakat Tingkat 30, 10564, Komtar, Pulau Pinang, 10450 George Town, Penang, Malaysia",5.4148502,100.3300056,0.270735021
